*******************************************************************************************************
The result of Algorithms for base_small is as follow: c=0.5, k=50
*******************************************************************************************************
     algName           c           k           m           l        Time      Recall        Cost

      ivf_BF          -1          50          -1          20     4.99868      0.9998           0
       sosia       10000          50         150          20      4.4033      0.9898     9936.54
       sosia       20000          50         150          20     5.58013      0.9944     13963.8
       sosia       30000          50         150          20     5.61541      0.9942     14051.8
       sosia       40000          50         150          20     5.79291      0.9946     14443.6
       sosia       80000          50         150          20     5.83485      0.9956     14339.2
       sosia      160000          50         150          20     5.81921      0.9954     14014.2
       sosia       20000           1         150          20     5.82876           1     14289.2
       sosia       20000          10         150          20     5.70301       0.998     14036.3
       sosia       20000          20         150          20     5.88953      0.9965     14179.4
       sosia       20000          30         150          20     5.91097    0.995667     14369.4
       sosia       20000          40         150          20     5.83983      0.9945     14033.4
       sosia       20000          50         150          20     5.79236      0.9954     14199.4
       sosia       20000          60         150          20     5.66419       0.993     13799.7
       sosia       20000          70         150          20     5.75107    0.993143       13942
       sosia       20000          80         150          20     5.88333    0.992875     14380.6
       sosia       20000          90         150          20     5.81456    0.991444     14109.3
       sosia       20000         100         150          20     5.83822      0.9876       14091

******************************************************************************************************
                                                                                    770-23:27:36
******************************************************************************************************


